# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.get.duration,1744047126494000000,1744047186517000000,289
cacheStateStorage.set.counter,1744047126494000000,1744047186517000000,3
cacheStateStorage.get.counter,1744047126494000000,1744047186517000000,24
cacheStateStorage.set.duration,1744047126494000000,1744047186517000000,21
AWTEventQueue.dispatchTimeMaxNs,1744047126494000000,1744047186517000000,469762047
NonBlockingReadAction.failedExecutionTimeUs,1744047126494000000,1744047186517000000,0
FlushQueue.waitingTimeAvgNs,1744047126494000000,1744047186517000000,4.460703573504523E7
FlushQueue.waitingTime90PNs,1744047126494000000,1744047186517000000,145752063
AWTEventQueue.dispatchTimeTotalNS,1744047126494000000,1744047186517000000,11220304219
AWTEventQueue.dispatchTime90PNs,1744047126494000000,1744047186517000000,2277375
AWTEventQueue.eventsDispatched,1744047126494000000,1744047186517000000,5867
FlushQueue.queueSizeAvg,1744047126494000000,1744047186517000000,10.566968193755471
FlushQueue.executionTimeMaxNs,1744047126494000000,1744047186517000000,465567743
FlushQueue.queueSizeMax,1744047126494000000,1744047186517000000,88
FlushQueue.waitingTimeMaxNs,1744047126494000000,1744047186517000000,603979775
FlushQueue.queueSize90P,1744047126494000000,1744047186517000000,35
AWTEventQueue.dispatchTimeAvgNs,1744047126494000000,1744047186517000000,1912646.7659792057
FlushQueue.executionTime90PNs,1744047126494000000,1744047186517000000,675839
ReadAction.executionsCount,1744047126494000000,1744047186517000000,102547
NonBlockingReadAction.finalizedExecutionTimeUs,1744047126494000000,1744047186517000000,550057
FlushQueue.tasksExecuted,1744047126494000000,1744047186517000000,3427
WriteAction.executionsCount,1744047126494000000,1744047186517000000,17
FlushQueue.executionTimeAvgNs,1744047126494000000,1744047186517000000,1416093.01429822
NonBlockingReadAction.failedExecutionsCount,1744047126494000000,1744047186517000000,0
NonBlockingReadAction.finalizedExecutionsCount,1744047126494000000,1744047186517000000,41
workspaceModel.cachedValue.total.get.ms,1744047126494000000,1744047186517000000,17
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1744047126494000000,1744047186517000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1744047126494000000,1744047186517000000,5
workspaceModel.entityStorageSnapshotImpl.instances.count,1744047126494000000,1744047186517000000,19
workspaceModel.cachedValue.from.cache.ms,1744047126494000000,1744047186517000000,0
workspaceModel.pre.handlers.ms,1744047126494000000,1744047186517000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1744047126494000000,1744047186517000000,0
workspaceModel.cachedValueWithParameters.calculated.ms,1744047126494000000,1744047186517000000,0
workspaceModel.update.unloaded.entities.ms,1744047126494000000,1744047186517000000,0
workspaceModel.init.bridges.ms,1744047126494000000,1744047186517000000,1
workspaceModel.workspaceFileIndexData.init.ms,1744047126494000000,1744047186517000000,43
workspaceModel.cachedValue.clear.ms,1744047126494000000,1744047186517000000,0
workspaceModel.cachedValueWithParameters.from.cache.ms,1744047126494000000,1744047186517000000,0
workspaceModel.check.recursive.update.ms,1744047126494000000,1744047186517000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1744047126494000000,1744047186517000000,0
workspaceModel.replace.project.model.ms,1744047126494000000,1744047186517000000,0
workspaceModel.updates.ms,1744047126494000000,1744047186517000000,43
workspaceModel.workspaceFileIndexData.instances.count,1744047126494000000,1744047186517000000,1
workspaceModel.full.replace.project.model.ms,1744047126494000000,1744047186517000000,4
workspaceModel.loading.from.cache.ms,1744047126494000000,1744047186517000000,177
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1744047126494000000,1744047186517000000,44
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1744047126494000000,1744047186517000000,40
workspaceModel.updates.precise.ms,1744047126494000000,1744047186517000000,13
workspaceModel.loading.total.ms,1744047126494000000,1744047186517000000,188
workspaceModel.to.snapshot.ms,1744047126494000000,1744047186517000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1744047126494000000,1744047186517000000,0
workspaceModel.initializing.ms,1744047126494000000,1744047186517000000,1
workspaceModel.workspaceFileIndexData.processFileSets.ms,1744047126494000000,1744047186517000000,0
workspaceModel.collect.changes.ms,1744047126494000000,1744047186517000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1744047126494000000,1744047186517000000,135
workspaceModel.cachedValueWithParameters.total.get.ms,1744047126494000000,1744047186517000000,0
workspaceModel.updates.count,1744047126494000000,1744047186517000000,3
workspaceModel.cachedValueWithParameters.clear.ms,1744047126494000000,1744047186517000000,0
workspaceModel.cachedValue.calculated.ms,1744047126494000000,1744047186517000000,17
FilePageCache.totalPageLoadsUs,1744047126494000000,1744047186517000000,252327
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1744047126494000000,1744047186517000000,623553
FilePageCacheLockFree.totalPagesReclaimed,1744047126494000000,1744047186517000000,0
FilePageCache.uncachedFileAccess,1744047126494000000,1744047186517000000,170
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1744047126494000000,1744047186517000000,0
FilePageCacheLockFree.totalPagesAllocated,1744047126494000000,1744047186517000000,0
FilePageCacheLockFree.totalPagesWritten,1744047126494000000,1744047186517000000,0
MappedFileStorage.totalBytesMapped,1744047126494000000,1744047186517000000,207880192
MappedFileStorage.totalTimeSpentOnMappingUs,1744047126494000000,1744047186517000000,13607
FilePageCacheLockFree.totalBytesRead,1744047126494000000,1744047186517000000,0
FilePageCache.pageHits,1744047126494000000,1744047186517000000,0
FilePageCacheLockFree.heapBytesInUse,1744047126494000000,1744047186517000000,0
FilePageCache.pageLoads,1744047126494000000,1744047186517000000,258
FilePageCacheLockFree.totalClosedStoragesReclaimed,1744047126494000000,1744047186517000000,0
MappedFileStorage.totalPagesMapped,1744047126494000000,1744047186517000000,17
FilePageCacheLockFree.totalNativeBytesAllocated,1744047126494000000,1744047186517000000,0
DirectByteBufferAllocator.hits,1744047126494000000,1744047186517000000,3
MappedFileStorage.storages,1744047126494000000,1744047186517000000,17
FilePageCache.pageLoadsAboveSizeThreshold,1744047126494000000,1744047186517000000,0
StreamlinedBlobStorage.recordsDeleted,1744047126494000000,1744047186517000000,30
FilePageCacheLockFree.totalNativeBytesReclaimed,1744047126494000000,1744047186517000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1744047126494000000,1744047186517000000,0
FilePageCacheLockFree.totalBytesWritten,1744047126494000000,1744047186517000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1744047126494000000,1744047186517000000,0
FilePageCache.pageFastCacheHits,1744047126494000000,1744047186517000000,5377
FilePageCacheLockFree.housekeeperTurnsSkipped,1744047126494000000,1744047186517000000,0
StorageLockContext.competingThreads.avg,1744047126494000000,1744047186517000000,0.0
DirectByteBufferAllocator.disposed,1744047126494000000,1744047186517000000,0
FilePageCacheLockFree.totalPagesWriteMs,1744047126494000000,1744047186517000000,0
FilePageCacheLockFree.totalPagesReadMs,1744047126494000000,1744047186517000000,0
FilePageCache.totalPageDisposalsUs,1744047126494000000,1744047186517000000,1300
FilePageCache.maxCacheSizeInBytes,1744047126494000000,1744047186517000000,265306112
DirectByteBufferAllocator.reclaimed,1744047126494000000,1744047186517000000,3
StorageLockContext.competingThreads.max,1744047126494000000,1744047186517000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1744047126494000000,1744047186517000000,0
FilePageCache.disposedBuffers,1744047126494000000,1744047186517000000,3
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1744047126494000000,1744047186517000000,265306112
FilePageCacheLockFree.totalHeapBytesReclaimed,1744047126494000000,1744047186517000000,0
StreamlinedBlobStorage.recordsAllocated,1744047126494000000,1744047186517000000,42454
FilePageCacheLockFree.totalPagesHandedOver,1744047126494000000,1744047186517000000,0
FilePageCache.maxRegisteredFiles,1744047126494000000,1744047186517000000,586
DirectByteBufferAllocator.misses,1744047126494000000,1744047186517000000,255
FilePageCache.capacityInBytes,1744047126494000000,1744047186517000000,503316478
FilePageCacheLockFree.totalPageAllocationsWaited,1744047126494000000,1744047186517000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1744047126494000000,1744047186517000000,0
FilePageCacheLockFree.totalBytesRequested,1744047126494000000,1744047186517000000,0
FilePageCacheLockFree.totalPagesRequested,1744047126494000000,1744047186517000000,0
StorageLockContext.competingThreads.90P,1744047126494000000,1744047186517000000,0
FilePageCacheLockFree.nativeBytesInUse,1744047126494000000,1744047186517000000,0
StreamlinedBlobStorage.recordsRelocated,1744047126494000000,1744047186517000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1744047126494000000,1744047186517000000,3037425
FilePageCacheLockFree.housekeeperTurnsDone,1744047126494000000,1744047186517000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1744047126494000000,1744047186517000000,2
workspaceModel.mutableEntityStorage.entities.by.source.ms,1744047126494000000,1744047186517000000,0
jps.module.iml.entities.serializer.load.entities.ms,1744047126494000000,1744047186517000000,18
workspaceModel.do.save.caches.ms,1744047126494000000,1744047186517000000,120
workspaceModel.moduleManagerBridge.newModule.ms,1744047126494000000,1744047186517000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1744047126494000000,1744047186517000000,0
jps.reload.project.entities.ms,1744047126494000000,1744047186517000000,0
jps.save.changed.project.entities.ms,1744047126494000000,1744047186517000000,9
jps.load.initial.state.ms,1744047126494000000,1744047186517000000,22
workspaceModel.global.updates.count,1744047126494000000,1744047186517000000,1
workspaceModel.orphan.listener.update.ms,1744047126494000000,1744047186517000000,1
jps.facet.change.listener.init.bridge.ms,1744047126494000000,1744047186517000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1744047126494000000,1744047186517000000,147
jps.global.get.library.ms,1744047126494000000,1744047186517000000,0
jps.project.serializers.load.ms,1744047126494000000,1744047186517000000,36
workspaceModel.moduleBridgeLoader.loading.modules.ms,1744047126494000000,1744047186517000000,550
jps.artifact.entities.serializer.load.entities.ms,1744047126494000000,1744047186517000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1744047126494000000,1744047186517000000,0
jps.app.storage.content.writer.save.component.ms,1744047126494000000,1744047186517000000,21
jps.module.iml.entities.serializer.save.entities.ms,1744047126494000000,1744047186517000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1744047126494000000,1744047186517000000,14
workspaceModel.moduleBridge.update.option.ms,1744047126494000000,1744047186517000000,0
jps.save.global.entities.ms,1744047126494000000,1744047186517000000,63
workspaceModel.global.apply.state.to.project.builder.ms,1744047126494000000,1744047186517000000,6
jps.app.storage.content.reader.load.component.ms,1744047126494000000,1744047186517000000,5
workspaceModel.moduleBridge.before.changed.ms,1744047126494000000,1744047186517000000,0
jps.global.handle.changed.events.ms,1744047126494000000,1744047186517000000,0
jps.project.serializers.save.ms,1744047126494000000,1744047186517000000,9
workspaceModel.moduleManagerBridge.build.module.graph.ms,1744047126494000000,1744047186517000000,2
workspaceModel.load.cache.metadata.from.file.ms,1744047126494000000,1744047186517000000,13
jps.global.get.libraries.ms,1744047126494000000,1744047186517000000,2
workspaceModel.moduleBridge.facet.initialization.ms,1744047126494000000,1744047186517000000,0
workspaceModel.global.updates.ms,1744047126494000000,1744047186517000000,7
workspaceModel.mutableEntityStorage.put.entity.ms,1744047126494000000,1744047186517000000,2
workspaceModel.moduleManagerBridge.load.module.ms,1744047126494000000,1744047186517000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1744047126494000000,1744047186517000000,0
jps.apply.loaded.storage.ms,1744047126494000000,1744047186517000000,15
workspaceModel.mutableEntityStorage.entities.ms,1744047126494000000,1744047186517000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1744047126494000000,1744047186517000000,0
workspaceModel.save.cache.to.file.ms,1744047126494000000,1744047186517000000,120
workspaceModel.sync.entities.ms,1744047126494000000,1744047186517000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1744047126494000000,1744047186517000000,2
jps.global.initialize.library.bridges.after.loading.ms,1744047126494000000,1744047186517000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1744047126494000000,1744047186517000000,0
jps.load.project.to.empty.storage.ms,1744047126494000000,1744047186517000000,113
workspaceModel.mutableEntityStorage.has.same.entities.ms,1744047126494000000,1744047186517000000,0
jps.storage.jps.conf.reader.load.component.ms,1744047126494000000,1744047186517000000,13
workspaceModel.global.apply.state.to.project.ms,1744047126494000000,1744047186517000000,48
jps.global.initialize.library.bridges.ms,1744047126494000000,1744047186517000000,1
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1744047126494000000,1744047186517000000,9
jps.facet.change.listener.before.change.events.ms,1744047126494000000,1744047186517000000,0
jps.library.entities.serializer.save.entities.ms,1744047126494000000,1744047186517000000,0
jps.global.handle.before.change.events.ms,1744047126494000000,1744047186517000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1744047126494000000,1744047186517000000,23
workspaceModel.mutableEntityStorage.instances.count,1744047126494000000,1744047186517000000,27
jps.library.entities.serializer.load.entities.ms,1744047126494000000,1744047186517000000,1
jps.global.get.library.by.name.ms,1744047126494000000,1744047186517000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1744047126494000000,1744047186517000000,3
workspaceModel.load.cache.from.file.ms,1744047126494000000,1744047186517000000,194
jps.facet.change.listener.process.change.events.ms,1744047126494000000,1744047186517000000,1
workspaceModel.delayed.project.synchronizer.sync.ms,1744047126494000000,1744047186517000000,132
